Дипломирал,Успех (средно),Вид на средно образование,Просек од прва година,Број на не положени предмети од прва година
на време,4.5,гимназиско,8.31,од 1-2
на време,5,гимназиско,10,0
на време,5,средно стручно,7.98,0
на време,4.98,гимназиско,9.42,0
на време,4,гимназиско,8.98,од 1-2
со задоцнување,4.23,гимназиско,8.23,од 3-5
со задоцнување,3,средно стручно,8.56,од 1-2
со задоцнување,5,гимназиско,10,од 3-5
со задоцнување,4.87,гимназиско,7.99,повеќе од 5
со задоцнување,4.56,средно стручно,8.98,од 3-5
не дипломирал,3.92,средно стручно,7,од 3-5
не дипломирал,3.45,средно стручно,5,повеќе од 5
не дипломирал,2.67,средно стручно,6.3,од 3-5
не дипломирал,3.2,средно стручно,8.2,повеќе од 5
не дипломирал,2,гимназиско,6.2,повеќе од 5
